"fullName","description","createdAgo","pushedAgo","isFork","repoStars","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"google/dopamine","Dopamine is a research framework for fast prototyping of reinforcement learning algorithms. ",914.5,20.7,,9273,557,2.01,9.88,5.81,,0.86,1.08,1.53,2.04,2.19,3.43,,10.52,0,0,0,0,0,0,0,0,5161,5800,6110,6377,6767,7173,7356,7526,7648,7760,7911,8041,8152,8256,8325,8399,8473,8539,8611,8692,8764,8829,8898,9035,9074,9130,9191,9237,9301
"chainer/chainer","A flexible framework of neural networks for deep learning",2061.6,12.5,,5518,394,1.42,11.75,5.81,,0.43,0.53,0.81,0.81,0.96,1.61,2.45,2.68,3221,3309,3408,3517,3630,3731,3801,3879,3962,4047,4146,4241,4339,4434,4504,4583,4658,4724,4790,4870,4940,5006,5065,5133,5168,5202,5236,5276,5318,5346,5371,5403,5426,5443,5474,5502,5527
"ShangtongZhang/DeepRL","Modularized Implementation of Deep RL Algorithms in PyTorch",1376.1,41.9,,2283,218,0.79,15.71,5.79,,0.64,1.25,1.34,1.23,1.51,1.71,,1.66,306,353,440,492,553,615,672,719,747,837,911,987,1033,1094,1157,1230,1300,1343,1394,1454,1499,1578,1632,1687,1729,1781,1826,1890,1956,2005,2057,2093,2128,2160,2200,2244,2300
"bentrevett/pytorch-seq2seq","Tutorials on implementing a few sequence-to-sequence (seq2seq) models with PyTorch and TorchText.",923.4,12.1,,2447,228,0.82,15.33,5.78,,1.21,2.89,3.29,3.38,3.98,3.28,,2.68,0,0,0,0,0,0,1,2,2,8,21,30,54,139,198,276,338,396,471,569,658,742,827,916,996,1115,1259,1421,1560,1686,1833,1944,2038,2148,2263,2361,2479
"MVIG-SJTU/AlphaPose","Real-Time and Accurate Full-Body Multi-Person Pose Estimation&Tracking System",1104.8,15.3,,4741,354,1.28,12.28,5.78,,0.93,2.2,3.47,3.35,3.47,3.62,,4.34,0,612,706,809,878,951,1020,1089,1489,1630,1764,1934,2099,2194,2384,2513,2636,2746,2869,2972,3054,3141,3260,3376,3472,3559,3655,3780,3914,4022,4126,4224,4325,4420,4543,4670,4753
"pytorch/xla","Enabling PyTorch on Google TPU",811.9,9.7,,1167,139,0.5,19.59,5.78,,0.43,0.72,1.08,1.32,1.54,1.45,,1.44,0,0,0,0,0,0,0,0,0,0,33,93,110,141,164,181,219,269,302,325,347,484,523,559,604,645,713,782,828,890,926,973,1015,1067,1109,1145,1176
"thstkdgus35/EDSR-PyTorch","PyTorch version of the paper 'Enhanced Deep Residual Networks for Single Image Super-Resolution' (CVPRW 2017) ",1224.6,40.1,,1487,163,0.59,18.03,5.76,0.43,0.5,0.66,1.04,1.12,1.15,1.41,,1.22,74,93,110,143,167,192,220,247,295,331,378,421,462,506,573,615,679,732,792,832,862,920,976,1033,1070,1097,1129,1160,1205,1247,1285,1322,1361,1394,1437,1469,1496
"apachecn/AiLearning","AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP",1430.5,23.4,,28588,1167,4.22,6.71,5.75,,4.93,7.17,12.85,15.02,17.25,28.43,,20.14,2023,2234,2591,3215,3797,4300,4737,5222,5764,6382,6886,7367,7823,8151,8736,11805,13629,15088,16794,17781,18788,20039,21002,21712,22282,22758,23380,24032,24658,25275,25839,26342,26840,27407,27925,28361,28634
"hyperopt/hyperopt","Distributed Asynchronous Hyperparameter Optimization in Python",3429,17.1,,5344,380,1.37,11.7,5.73,,1.14,1.87,2.45,2.79,3.21,3.35,2.59,1.56,1712,1789,1863,1959,2048,2131,2253,2366,2474,2571,2675,2807,2893,2986,3106,3224,3326,3419,3522,3627,3726,3838,3967,4064,4171,4295,4392,4481,4622,4726,4832,4940,5017,5117,5205,5284,5386
"mlflow/mlflow","Open source platform for the machine learning lifecycle",965.2,8.4,,8184,505,1.83,10.15,5.73,,4.07,4.44,6.64,6.78,6.85,7.26,,8.48,0,0,0,0,0,1275,1753,1952,2130,2359,2549,2717,2880,3074,3238,3527,3722,4015,4229,4416,4613,4898,5161,5390,5679,5907,6110,6289,6484,6722,6942,7146,7374,7573,7858,8045,8258
"fmfn/BayesianOptimization","A Python implementation of global optimization with gaussian processes.",2425.5,32.4,,4798,354,1.28,12.14,5.73,,1.29,2.07,2.64,2.79,3.05,3.58,2.59,1.98,1062,1147,1227,1309,1396,1497,1591,1685,1789,1883,1968,2073,2184,2310,2448,2610,2727,2863,2981,3109,3227,3371,3488,3595,3681,3760,3851,3951,4088,4188,4284,4364,4469,4552,4646,4730,4825
"d2l-ai/d2l-en","Interactive deep learning book with code, math, and discussions. Available in multi-frameworks. Adopted at 175 universities.",839.8,7.8,,8551,519,1.88,9.98,5.72,,4.93,9.17,8.35,11.01,13.45,10.31,,10.19,0,0,0,0,0,0,0,0,0,4,14,551,1016,1184,1395,1556,1697,1920,2108,2213,2467,2632,2869,3077,3634,3821,4003,4511,5021,5915,6533,7067,7516,7781,8037,8263,8623
"keras-team/autokeras","AutoML library for deep learning",1162.9,21.6,,7695,484,1.75,10.35,5.72,,1,1.41,2.2,2.71,3.55,4.71,,6.7,2,7,13,20,25,29,42,2562,3079,3292,3545,3784,4257,4519,4703,4938,5140,5320,5538,5710,5879,6029,6152,6253,6397,6533,6643,6809,6955,7065,7198,7289,7399,7492,7572,7649,7710
"facebookresearch/ParlAI","A framework for training and evaluating AI models on a variety of openly available dialogue datasets.",1372.2,10,,6911,450,1.63,10.71,5.71,,1.21,2.4,2.55,2.78,4.86,4.01,,5.07,2603,2766,2871,3017,3122,3259,3326,3434,3518,3614,3737,3856,3981,4057,4187,4312,4384,4475,4545,4656,4748,4849,4942,5048,5138,5217,5297,5355,6101,6267,6404,6494,6581,6679,6766,6839,6940
"josephmisiti/awesome-machine-learning","A curated list of awesome Machine Learning frameworks, libraries and software.",2386.1,12.3,,47919,1631,5.89,5.6,5.7,,6.21,9.3,11.32,13.12,14.53,15.51,21.52,20.09,28221,29255,30101,30865,31479,32238,32951,33546,34150,34724,35260,35899,36582,37087,37677,38318,38948,39472,40004,40483,40976,41425,41818,42235,42603,42933,43318,43781,44260,44721,45513,45843,46502,46874,47270,47625,48015
"PaddlePaddle/models","Pre-trained and Reproduced Deep Learning Models （『飞桨』官方模型库，包含多种学术前沿和工业场景验证的深度学习模型）",1376.3,9.6,,5571,388,1.4,11.46,5.69,,1.29,2.14,3.89,3.92,4.92,6.79,,4.05,148,170,201,244,272,305,352,382,425,456,513,563,612,681,813,1015,1336,1664,2158,2486,2726,2984,3366,3612,3774,3901,4169,4357,4549,4707,4852,5006,5119,5212,5350,5502,5598
"fastai/course-v3","The 3rd edition of course.fast.ai",837.1,19.1,,4686,345,1.25,12.11,5.68,,0.36,0.72,0.9,1.41,2.94,5.55,,5.6,0,0,0,0,0,0,0,0,0,241,426,521,633,1171,1475,1721,1895,2097,2469,2646,2843,3040,3207,3470,3614,3747,3898,4033,4191,4309,4427,4543,4580,4604,4631,4663,4698
"google/automl","Google Brain AutoML",319.7,14.6,,3695,294,1.06,13.09,5.67,,1.29,2.24,3.09,4.18,,,,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,2149,2474,2712,2930,3157,3299,3410,3523,3624,3720
"mcordts/cityscapesScripts","README and scripts for the Cityscapes Dataset",1801.3,14.1,,1292,146,0.53,18.59,5.67,0.14,0.5,0.69,0.91,0.96,0.95,1,,0.72,208,225,251,276,296,330,370,395,417,451,479,512,564,586,627,659,693,716,747,781,808,839,879,916,946,972,1003,1036,1059,1083,1117,1149,1179,1211,1242,1272,1300
"dkozlov/awesome-knowledge-distillation","Awesome Knowledge Distillation",1427.3,40.3,,2308,215,0.78,15.32,5.67,,0.5,0.92,1.71,1.63,1.73,2.18,,1.62,172,208,250,298,336,390,443,469,529,574,620,673,712,751,797,847,920,988,1159,1257,1347,1432,1521,1607,1678,1717,1776,1832,1913,1967,2010,2049,2098,2152,2226,2280,2319
"tqdm/tqdm","A Fast, Extensible Progress Bar for Python and CLI",2063.3,8.7,,17094,815,2.95,7.84,5.66,,4.93,10.36,10.66,10.71,11.67,11.84,8.23,8.28,4747,4947,5162,5409,5932,6283,6632,6892,7181,7496,7756,8146,8435,8753,9211,9602,9943,10266,10649,11032,11433,11786,12144,12467,12818,13192,13599,13995,14472,14797,15125,15467,15802,16106,16433,16764,17181
"IDSIA/sacred","Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2492.1,10.1,,3266,269,0.97,13.55,5.63,,0.79,1.05,1.81,1.74,2.05,2.45,1.7,1.41,775,815,870,924,973,1016,1065,1122,1206,1289,1347,1407,1473,1550,1654,1734,1794,1918,1997,2062,2180,2283,2366,2446,2515,2586,2666,2717,2798,2892,2948,3001,3045,3100,3172,3232,3284
"locuslab/TCN","Sequence modeling benchmarks and temporal convolutional networks",1059.9,27.2,,2672,235,0.85,14.47,5.62,,0.79,1.12,1.71,2.02,1.7,1.77,,2.53,0,0,421,485,620,682,753,921,981,1048,1104,1305,1377,1441,1512,1583,1645,1697,1755,1799,1862,1915,1969,2012,2046,2079,2125,2170,2222,2266,2301,2348,2446,2513,2579,2634,2691
"davidsandberg/facenet","Face recognition using Tensorflow",1809,40.6,,11447,618,2.23,8.88,5.61,,1.43,2.47,3.55,3.79,4.67,6.45,,6.34,3019,3280,3616,3977,4341,4704,5020,5299,5552,5831,6121,6445,6729,6963,7298,7613,7910,8172,8427,8664,8921,9139,9342,9551,9737,9918,10082,10300,10467,10614,10749,10860,10990,11115,11234,11364,11470
"ageitgey/face_recognition","The world's simplest facial recognition api for Python and the command line",1424,37.4,,38176,1379,4.98,5.94,5.6,,7.07,11.84,16.5,16.48,20.12,25.41,,26.87,9762,10656,11492,12301,13012,13884,14727,15514,16307,17103,17919,18708,19609,20438,21410,22471,23400,24281,25071,26685,27613,28526,29353,30160,30815,31735,32527,33261,33891,34569,35150,35663,36163,36651,37200,37797,38246
"pytorch/botorch","Bayesian optimization in PyTorch",909.9,10.1,,1812,180,0.65,16.34,5.58,,0.21,0.76,0.98,0.96,1.06,,,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,843,921,956,1021,1280,1334,1384,1423,1453,1497,1538,1572,1607,1637,1665,1708,1723,1754,1788,1823
"open-mmlab/mmsegmentation","OpenMMLab Semantic Segmentation Toolbox and Benchmark.",225.7,9.3,,1261,141,0.51,18.39,5.57,0.14,2.36,3.22,3.84,4.49,,,,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,668,812,912,1033,1164,1281
"KevinMusgrave/pytorch-metric-learning","The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",460.2,10.3,,2635,230,0.83,14.36,5.55,,2.07,3.16,4.3,4.94,5.99,,,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,129,444,746,902,1096,1428,1617,1728,1916,2118,2238,2398,2535,2663
"KaiyangZhou/deep-person-reid","Torchreid: Deep learning person re-identification in PyTorch.",1051,9.4,,2566,225,0.81,14.42,5.53,,0.79,1.25,1.74,2.06,2.03,2.42,,2.45,0,0,127,200,268,325,390,440,490,548,613,714,799,862,963,1036,1123,1199,1274,1335,1403,1533,1672,1766,1826,1871,1929,1995,2063,2139,2190,2256,2333,2406,2473,2527,2580
"JuliaLang/julia","The Julia Programming Language",3567.6,8,,31606,1193,4.31,6.21,5.5,,6.71,15.22,18.79,19.73,19.05,17.28,14.02,8.86,9400,9679,9939,10204,10511,10786,11034,15186,16635,17304,17795,18319,18983,19738,20398,20883,21357,21757,22218,22685,23051,23405,23714,24245,24648,25007,25455,25899,26852,27542,27999,28613,29232,29885,30621,31137,31702
"apache/spark","Apache Spark - A unified analytics engine for large-scale data processing",2526.6,7.8,,28542,1113,4.02,6.41,5.49,,3.86,5.85,8.31,9.78,10.92,12.21,12.08,11.3,15025,15340,15771,16189,16534,16983,17361,17663,18043,18423,18820,19230,19622,19969,20435,20913,21371,21778,22177,22577,23075,23466,23871,24230,24553,24824,25170,25542,25903,26312,26753,27087,27412,27780,28044,28360,28615
"facebookresearch/SlowFast","PySlowFast: video understanding codebase from FAIR for reproducing state-of-the-art video models.",523.9,18.1,,3265,262,0.95,13.2,5.48,,1.43,2.14,2.88,3.04,3.74,,,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,724,851,1901,2043,2150,2268,2387,2564,2709,2814,2923,3002,3102,3199,3298
"spmallick/learnopencv","Learn OpenCV  : C++ and Python Examples",2169.6,12.2,,12945,647,2.34,8.22,5.41,,4.79,6.94,8.14,8.68,10.86,11.86,7.05,6.01,1342,1433,1597,1758,1941,2141,2291,2553,2811,3211,3542,3906,4284,4635,5103,5557,6036,6435,6821,7175,7716,8067,8385,8707,8974,9234,9582,10059,10442,10956,11355,11622,11897,12197,12461,12728,13012
"deepmind/deepmind-research","This repository contains implementations and illustrative code to accompany DeepMind publications",741.5,17.9,,4727,331,1.2,11.52,5.41,,3.07,6.71,25.01,16.73,10.8,,,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,207,312,452,790,947,1129,1270,1375,1499,1679,1970,2214,2451,3083,4528,4778
"daquexian/onnx-simplifier","Simplify your onnx model",665.5,11.7,,969,115,0.42,19.52,5.41,,1.86,1.58,2.03,1.99,1.88,,,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,37,57,76,101,119,145,173,252,282,317,364,428,480,528,606,674,728,784,848,920,1002
"pytorch/glow","Compiler for Neural Network hardware accelerators",1214.3,8.2,,2369,207,0.75,14.37,5.37,,0.36,0.85,1.06,1.05,1.3,1.66,,2.03,3,3,4,4,496,580,629,656,785,917,999,1080,1154,1224,1283,1368,1439,1488,1538,1599,1665,1724,1777,1821,1894,1959,2033,2079,2110,2140,2177,2217,2238,2271,2307,2343,2375
"jupyterlab/jupyterlab","JupyterLab computational environment.",1697,8.3,,10697,566,2.05,8.7,5.37,,2.57,4.64,3.95,3.96,4.16,5.2,,6.31,3062,4026,4732,4997,5235,5465,5678,5903,6081,6310,6505,6681,6894,7088,7436,7658,7881,8062,8299,8456,8630,8779,8930,9062,9171,9290,9430,9584,9713,9837,9969,10085,10211,10331,10441,10550,10732
"eriklindernoren/Keras-GAN","Keras implementations of Generative Adversarial Networks.",1294.2,19.2,,7795,457,1.65,9.64,5.36,,1.43,2.01,2.96,3.52,4.21,5.99,,6.06,227,339,1195,1435,1641,1846,2073,2289,2472,2659,2891,3153,3425,3642,3960,4237,4479,4701,4977,5227,5446,5665,5880,6102,6261,6403,6536,6714,6869,7027,7153,7273,7404,7525,7632,7735,7825
"Oneflow-Inc/oneflow","OneFlow is a performance-centered and open-source deep learning framework.",1444.6,8.3,,2166,194,0.7,14.73,5.34,0.14,1.64,2.27,3.25,11.79,5.92,2.96,,2.05,0,0,1,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,7,8,9,10,12,16,1765,1830,1870,2020,2099,2182
"cvxgrp/cvxpy","A Python-embedded modeling language for convex optimization problems.",2764.9,9.2,,3014,242,0.87,13.21,5.34,,0.64,1.25,2.22,1.99,2.01,2.04,1.46,1.1,942,986,1031,1072,1134,1181,1240,1272,1314,1362,1414,1461,1522,1577,1636,1708,1781,1857,1905,1952,2026,2084,2168,2231,2278,2329,2388,2464,2521,2583,2647,2695,2760,2807,2897,2972,3026
"NVIDIA/nccl","Optimized primitives for collective multi-GPU communication",1899.9,39.1,,1430,147,0.53,16.91,5.34,,0.43,0.72,1.04,0.93,0.81,0.91,0.76,0.75,493,504,518,539,551,568,584,603,612,669,709,741,768,799,848,880,925,939,968,992,1031,1053,1081,1111,1132,1149,1167,1198,1222,1243,1260,1286,1307,1334,1373,1406,1436
"clab/dynet","DyNet: The Dynamic Neural Network Toolkit",2177.9,8.1,,3167,249,0.9,12.93,5.32,,0.14,0.46,0.47,0.47,0.57,0.83,1.7,1.46,1944,2016,2086,2136,2177,2227,2282,2332,2371,2427,2481,2519,2560,2598,2645,2690,2736,2785,2813,2841,2863,2890,2917,2936,2958,2978,3004,3024,3043,3064,3081,3097,3110,3123,3140,3153,3172
"kaldi-asr/kaldi","kaldi-asr/kaldi is the official location of the Kaldi project.",2107.2,9.6,,9997,535,1.93,8.8,5.31,,2.79,3.68,4.78,4.55,5.34,6.88,5.28,4.76,2954,3068,3244,3399,3560,3832,3986,4131,4313,4460,4623,4793,4974,5123,5386,5640,5816,6023,6202,6730,7045,7430,7692,7868,8047,8197,8387,8598,8768,9006,9166,9302,9444,9559,9738,9883,10057
"Atcold/pytorch-Deep-Learning","Deep Learning (with PyTorch)",931.4,8.2,,4344,306,1.11,11.59,5.3,,1.71,5.42,12.26,10.09,8.47,5,,4.68,0,0,0,0,0,0,51,495,571,587,645,681,690,762,790,935,972,1001,1084,1109,1145,1197,1213,1235,1249,1557,1813,1968,2207,2319,2498,2625,2786,3220,3828,4174,4381
"fengdu78/deeplearning_ai_books","deeplearning.ai（吴恩达老师的深度学习课程笔记及资源）",1144.5,32.7,,12551,619,2.24,8.11,5.28,,2.07,4.18,6.28,6.55,8.21,10.74,,10.98,6,11,14,1240,2164,2583,2864,3101,3381,3628,4041,4423,4704,4931,5436,5934,6414,6743,7380,7700,8051,8715,9026,9341,9549,9765,10046,10337,10877,11108,11349,11538,11728,11971,12221,12418,12607
"zhaoxin94/awesome-domain-adaptation","A collection of AWESOME things about domian adaptation",988.8,10.7,,2538,213,0.77,13.8,5.27,,1.36,2.14,2.55,3.01,2.89,2.9,,2.61,0,0,0,0,0,11,28,109,160,207,276,365,419,474,626,725,799,866,943,1010,1082,1195,1300,1408,1480,1539,1643,1757,1833,1896,1985,2081,2215,2302,2365,2470,2558
"microsoft/computervision-recipes","Best Practices, code samples, and documentation for Computer Vision.",714.2,11.3,,7419,434,1.57,9.62,5.26,,1.14,2.43,3.58,24.99,19.41,,,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,12,13,13,37,56,142,189,294,333,1785,2219,2373,2466,2582,2856,6035,6824,7089,7252,7342,7436
"bytedance/byteps","A high performance and generic framework for distributed DNN training",580.6,9.6,,2655,219,0.79,13.57,5.26,,1.07,2.53,2.66,2.19,1.82,,,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1576,1669,1736,1788,1873,1937,1990,2018,2053,2099,2159,2204,2254,2315,2371,2410,2477,2577,2690
"jettify/pytorch-optimizer","torch-optimizer -- collection of optimizers for Pytorch",388.7,7.9,,1632,158,0.57,15.93,5.25,,1.14,2.5,5.45,3.92,,,,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,673,764,811,855,909,965,1055,1129,1194,1549,1654
"mseitzer/pytorch-fid","Compute FID scores with PyTorch.",1080.4,27.1,,1087,120,0.43,18.16,5.23,,0.5,1.02,1.55,1.59,1.43,1.18,,1.03,0,0,3,9,20,25,92,109,120,139,175,203,221,239,266,295,320,344,372,405,426,462,503,536,564,598,633,666,726,758,797,837,897,945,999,1055,1095
"layumi/Person_reID_baseline_pytorch","Pytorch ReID: A tiny, friendly, strong pytorch implement of person re-identification baseline. Tutorial 👉https://github.com/layumi/Person_reID_baseline_pytorch/tree/master/tutorial",1123.5,14.7,,2435,205,0.74,13.85,5.22,0.43,1,1.25,1.68,1.85,1.84,2.38,,2.18,97,111,138,204,267,309,352,396,434,503,547,618,703,861,940,1047,1120,1191,1303,1389,1465,1533,1645,1722,1769,1813,1868,1927,1991,2041,2102,2154,2232,2285,2345,2401,2456
"flairNLP/flair","A very simple framework for state-of-the-art Natural Language Processing (NLP)",959.4,11.2,,9812,518,1.87,8.68,5.21,,2,3.32,3.98,4.5,5.28,7.5,,10.27,0,0,0,0,0,73,187,301,388,553,672,1267,4335,4933,5351,5648,5954,6235,6542,6826,7063,7300,7513,7702,7882,8048,8201,8354,8545,8834,8991,9169,9329,9449,9568,9710,9855
"THUNLP-MT/MT-Reading-List","A machine translation reading list maintained by Tsinghua Natural Language Processing Group",784.4,21.6,,1925,175,0.63,14.95,5.21,,0.36,0.92,1.01,1.1,1.09,1.37,,2.46,0,0,0,0,0,0,0,0,0,0,0,15,922,984,1052,1108,1160,1220,1270,1329,1386,1427,1475,1507,1527,1554,1589,1619,1659,1684,1725,1756,1796,1833,1869,1896,1936
"instillai/TensorFlow-Course",":satellite: Simple and ready-to-use tutorials for TensorFlow ",846.1,35,,15391,698,2.52,7.46,5.2,,1.71,2.6,4.6,4.77,4.99,8.82,,18.21,0,0,0,0,0,0,0,0,0,5106,6865,7723,8953,9653,10276,10835,11392,11832,12238,12566,12955,13183,13354,13474,13568,13694,13868,14067,14234,14375,14517,14667,14802,14969,15180,15310,15420
"mindspore-ai/mindspore","MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and cloud scenarios.",349.5,8.2,,1820,168,0.61,15.18,5.19,0.14,0.86,2.14,3.86,3.35,,,,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,67,872,1024,1133,1210,1309,1402,1470,1552,1756,1835
"TuSimple/simpledet","A Simple and Versatile Framework for Object Detection and Instance Recognition",727.5,11.7,,2829,225,0.81,13.08,5.18,,0.36,0.59,0.83,0.87,1.11,,,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,1311,1391,1530,1673,1821,1943,2041,2125,2218,2356,2424,2458,2501,2540,2577,2627,2671,2707,2730,2753,2791,2810,2840
"666DZY666/micronet","micronet, a model compression and deploy lib. compression: 1、quantization: quantization-aware-training(QAT), High-Bit(>2b)(DoReFa/Quantization and Training of Neural Networks for Efficient Integer-Ari...",418.2,8.7,,1088,119,0.43,17.99,5.18,0.57,2,1.91,2.05,2.14,2.06,,,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,341,372,457,527,597,647,702,790,855,905,964,1034,1107
"handong1587/handong1587.github.io","",1990.5,11.4,,3059,237,0.86,12.74,5.18,,0.14,0.33,0.55,0.41,0.62,1.33,1.67,1.6,803,882,992,1121,1219,1346,1452,1564,1671,1757,1864,1988,2090,2152,2276,2370,2441,2505,2566,2620,2676,2721,2766,2809,2834,2857,2889,2923,2957,2965,2984,2991,2998,3009,3031,3048,3069
"CharlesShang/FastMaskRCNN","Mask RCNN in TensorFlow ",1402.2,20.7,,3041,236,0.85,12.77,5.18,,,0.23,0.21,0.24,0.33,0.64,,2.17,1724,1803,1958,2052,2151,2220,2293,2343,2396,2443,2483,2532,2572,2603,2651,2685,2730,2758,2799,2829,2849,2873,2893,2907,2919,2929,2949,2963,2973,2987,2995,3004,3007,3020,3027,3033,3046
"davisking/dlib","A toolkit for making real world machine learning and data analysis applications in C++",2553.9,10.2,,9801,514,1.86,8.63,5.17,,1.43,2.33,3.36,3.25,3.87,4.83,5.22,3.92,3716,4026,4307,4529,4741,4972,5189,5368,5536,5728,5913,6073,6273,6447,6678,6909,7106,7272,7453,7611,7770,7919,8087,8236,8387,8495,8638,8790,8959,9098,9209,9299,9392,9495,9618,9731,9826
"huggingface/tokenizers","💥 Fast State-of-the-Art Tokenizers optimized for Research and Production",451.1,13,,4160,290,1.05,11.47,5.17,,0.86,2.01,3.58,3.74,6.5,,,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1788,2197,2432,2691,2871,3289,3476,3609,3723,3832,3979,4099,4184
"oneapi-src/oneDNN","oneAPI Deep Neural Network Library (oneDNN)",1721.9,9.7,,2229,191,0.69,14.1,5.16,,0.71,0.89,1.46,1.35,1.35,1.49,,1.38,539,586,627,684,735,782,842,877,933,980,1032,1090,1138,1194,1253,1328,1369,1414,1459,1517,1574,1621,1657,1701,1736,1773,1807,1861,1891,1944,1983,2023,2054,2097,2159,2202,2239
"magenta/magenta","Magenta: Music and Art Generation with Machine Intelligence",1726,9.9,,16191,716,2.59,7.27,5.15,,1.86,3.02,4.59,5.06,5.15,6.11,,9.43,8104,8477,8964,9307,9573,9850,10089,10333,10571,10872,11164,11468,11723,11904,12348,12660,12902,13096,13299,13466,13662,13851,14021,14174,14305,14461,14597,14787,14951,15103,15262,15417,15586,15767,15953,16093,16218
"tensorflow/probability","Probabilistic reasoning and statistical analysis in TensorFlow",1189.9,9.9,,3202,242,0.87,12.43,5.13,,0.29,0.99,1.33,1.38,1.64,2.18,,2.97,0,77,164,475,595,681,814,973,1111,1257,1384,1492,1611,1710,1853,1971,2086,2166,2246,2308,2377,2454,2516,2577,2602,2662,2719,2776,2845,2892,2947,3001,3045,3079,3124,3170,3210
"MegEngine/MegEngine","MegEngine 是一个快速、可拓展、易于使用且支持自动求导的深度学习框架",313.5,10.8,,3768,269,0.97,11.74,5.12,,0.43,1.15,10.98,8.93,,,,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437,1951,2003,2050,2138,2236,2322,2765,3141,3733,3778
"catboost/catboost","A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computa...",1287.7,7.8,,5642,352,1.27,10.26,5.12,,1.07,1.08,2.12,2.23,2.59,2.94,,4.38,2231,2354,2472,2565,2681,2811,2918,3006,3107,3197,3297,3424,3496,3578,3701,3822,3916,4041,4156,4252,4335,4420,4525,4634,4695,4785,4857,4937,5077,5162,5231,5300,5369,5446,5510,5606,5668
"Tencent/TNN","TNN：由腾讯优图实验室打造，移动端高性能、轻量级推理框架，同时拥有跨平台、高性能、模型压缩、代码裁剪等众多突出优势。TNN框架在原有Rapidnet、ncnn框架的基础上进一步加强了移动端设备的支持以及性能优化，同时也借鉴了业界主流开源框架高性能和良好拓展性的优点。目前TNN已经在手Q、微视、P图等应用中落地，欢迎大家参与协同共建，促进TNN推理框架进一步完善。",241.6,9.6,,2300,193,0.7,13.8,5.1,1,2.07,2.66,3.85,4.02,,,,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,1577,1693,1825,1958,2085,2229,2362
"tamarott/SinGAN","Official pytorch implementation of the paper: ""SinGAN: Learning a Generative Model from a Single Natural Image""",526.9,33.5,,2707,215,0.78,13.06,5.1,,0.07,0.72,1.13,1.44,1.71,,,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,1617,1959,2084,2161,2228,2278,2349,2394,2444,2515,2549,2604,2651,2684,2719
"mapillary/inplace_abn","In-Place Activated BatchNorm for Memory-Optimized Training of DNNs",1159.4,12.2,,1099,118,0.43,17.66,5.1,,0.21,0.3,0.41,0.51,0.65,0.79,,0.96,120,158,188,203,218,264,283,313,365,388,416,455,519,547,577,608,642,665,707,742,768,790,811,843,861,878,901,940,966,980,1006,1021,1045,1062,1079,1090,1103
"nltk/nltk","NLTK Source",4158.4,13.1,,9551,497,1.8,8.56,5.09,,1.07,1.68,2.48,2.82,3.04,3.31,3.71,2.3,5605,5744,5918,6060,6188,6317,6434,6542,6665,6801,6927,7031,7130,7261,7375,7492,7591,7702,7803,7912,8010,8114,8250,8357,8435,8553,8652,8751,8844,8953,9032,9128,9221,9320,9405,9496,9571
